Designator,Mid X,Mid Y,Layer,Rotation
C1, 9.58,-5.94,Top,90.0
C2, 7.54,-5.94,Top,90.0
C3,12.75,-26.37,Top,90.0
C4, 8.69,-26.31,Top,90.0
IC1,12.16, 3.18,Top,90.0
IC2,10.72,-23.14,Top,90.0
J1, 6.35,-24.13,Top,270.0
J2,125.96,-24.13,Top,90.0
LED1,31.75,-17.78,Top,270.0
LED2,44.45,-17.78,Top,270.0
LED3,57.15,-17.78,Top,270.0
LED4,69.85,-17.78,Top,270.0
LED5,82.52,-17.78,Top,270.0
LED6,95.25,-17.78,Top,270.0
LED7,107.95,-17.78,Top,270.0
LED8,120.65,-17.78,Top,270.0
P1,13.03,23.00,Top,270.0
P2,128.80,23.00,Top,90.0
Q1,29.21,-20.93,Top,270.0
Q2,41.91,-20.93,Top,270.0
Q3,54.61,-20.93,Top,270.0
Q4,67.31,-20.93,Top,270.0
Q5,79.98,-20.93,Top,270.0
Q6,92.71,-20.93,Top,270.0
Q7,105.41,-20.93,Top,270.0
Q8,118.11,-20.93,Top,270.0
Q9,29.21,-16.59,Top,270.0
Q10,41.91,-16.59,Top,270.0
Q11,54.61,-16.59,Top,270.0
Q12,67.31,-16.59,Top,270.0
Q13,79.98,-16.59,Top,270.0
Q14,92.71,-16.59,Top,270.0
Q15,105.41,-16.59,Top,270.0
Q16,118.11,-16.59,Top,270.0
R1,12.98,-4.29,Top,0.0
R2,12.98,-3.23,Top,0.0
R3, 8.18,-18.85,Top,0.0
R4, 8.18,-20.12,Top,0.0
R5,26.67,-18.75,Top,270.0
R6,39.37,-18.72,Top,270.0
R7,52.07,-18.72,Top,270.0
R8,64.77,-18.72,Top,270.0
R9,77.44,-18.72,Top,270.0
R10,90.17,-18.72,Top,270.0
R11,102.87,-18.72,Top,270.0
R12,115.57,-18.72,Top,270.0
R13,31.75,-20.52,Top,270.0
R14,44.45,-20.52,Top,270.0
R15,57.15,-20.52,Top,270.0
R16,69.85,-20.52,Top,270.0
R17,82.52,-20.52,Top,270.0
R18,95.25,-20.52,Top,270.0
R19,107.95,-20.52,Top,270.0
R20,120.65,-20.52,Top,270.0
R21,26.16,-15.80,Top,0.0
R22,38.86,-15.80,Top,0.0
R23,51.56,-15.80,Top,0.0
R24,64.26,-15.80,Top,0.0
R25,76.94,-15.80,Top,0.0
R26,89.66,-15.80,Top,0.0
R27,102.36,-15.80,Top,0.0
R28,115.06,-15.80,Top,0.0
JP1, 3.81, 0.00,Top,270.0
JP4,128.47, 0.00,Top,270.0
A0,18.92,-24.18,Top,180.0
A1,18.92,-21.64,Top,180.0
A2,18.92,-19.10,Top,180.0
X1,27.94,22.61,Top,180.0
X2,40.64,22.61,Top,180.0
X3,53.34,22.61,Top,180.0
X4,66.04,22.61,Top,180.0
X5,78.74,22.61,Top,180.0
X6,91.44,22.61,Top,180.0
X7,104.14,22.61,Top,180.0
X8,116.84,22.61,Top,180.0
X9,5.36,22.99,Top,270.0
K1,29.21,6.35,Top,90.0
K2,41.91,6.35,Top,90.0
K3,54.61,6.35,Top,90.0
K4,67.31,6.35,Top,90.0
K5,80.01,6.35,Top,90.0
K6,92.71,6.35,Top,90.0
K7,105.41,6.35,Top,90.0
K8,118.11,6.35,Top,90.0
